metric,lasso,lin_reg,ridge,knn,xgboost,rf
mae,152.52746565022775,152.52712227918713,152.52712231642147,153.10666952054794,167.86256132555877,152.5216740709031
smape,0.403031956898317,0.40302896736051264,0.403028967608086,0.2993840736548331,0.30757807688921934,0.3066105988082022
