dataset,model,mae,smape,time
M3-monthly,KAN,676.0,7.54,430.0
M3-monthly,MLP,651.0,7.19,100.0
M3-monthly,NBEATS,636.0,7.08,209.0
M3-monthly,NHITS,646.0,7.09,210.0
