SVR,XGBOOST,RNN,CNN-LSTM,NBEATS,KG-GCN-LSTM,KG-CNN-LSTM
7480.109009802217,3209.2876160438987,239882.7256035719,,,,16485.35840240558
3374.2648448618634,9776.200851329559,87553.87079920823,,,,121714.06293491294
822.5106087822652,6686.205032699801,46217.4941879322,,,,21143.89535319505
1814.0733478720047,56311.61394851179,292342.04883087275,,,,113634.92905756227
5049.153505033983,40715.84652768546,31159.531785685173,,,,8224.437221778635
5454.230844313919,17999.936622744957,204225.40682077684,,,,8162.186942247146
7625.039057580142,540.7306539086362,38370.22789567319,,,,12283.067310126436
69052.90899884491,4186.573096794016,33893.44982280722,,,,14832.743743954143
1977.8760125242757,6373.841249340166,241056.53258006758,,,,16225.627355104263
30619.481346947367,17676.0417502631,23107.621910816706,,,,25960.071540520694
1532.2431164373504,27383.423420376723,287038.78534197784,,,,55342.636492902
15017.461786438469,5786.759704500676,24993.014335923413,,,,17452.497595850407
18782.97250804845,1002.7654179748893,13801.112414777801,,,,29211.212991492714
9070.85856334347,1586.6974984358092,641320.6437542883,,,,44502.00918690492
17744.36217832584,4224.2029336856285,363397.34804386017,,,,12131.7956162438
4299.800670804637,6554.263904337269,236971.86812307205,,,,334127.2898159816
6228.134748735081,2627.7250350556237,18530.786390901318,,,,23647.94473574694
10682.678086313881,6256.414354210866,141840.8602103368,,,,25623.866381378033
281431.3401062423,1196.4824224248657,24851.59530282782,,,,15445.772223773212
21585.69024109906,2497.0559536056203,433015.10329562094,,,,150108.9729965972
3385.134277842967,754.0640752277673,3374.823570899525,,,,31041.852713096843
15206.551000340194,2863.153956607056,26769.589311282736,,,,13916.266111401563
1455.015178578914,49172.5141512848,108917.34150372284,,,,92278.44748806432
4552.890228487701,41176.3962995163,9736.095674347425,,,,16543.991447216773
17555.980438006318,712.0032179951334,258337.03664146535,,,,15233.254390775886
7188.877236022494,1047.301581635709,82044.78258914163,,,,39023.03828558944
3233.7379333618037,2425.009736095889,16269.505375368944,,,,17617.561302492417
8135.973089628688,4118.827807484075,149996.18264384512,,,,17700.47326011497
12781.109669802336,1367.6213768568514,3849.3958985565546,,,,24733.090275502618
