SVR,XGBOOST,RNN,CNN-LSTM,NBEATS,KG-GCN-LSTM,KG-CNN-LSTM
1469.3865311875024,31116.42472636871,168929.2803945555,,,,7710.3684257916875
4183.348951792461,2814.1417565075235,181247.7847903441,,,,31333.954369593077
11628.60342018207,13275.582710732766,512821.62019869324,,,,9691.09052757581
24382.284948961576,754.2259378453174,42650.25527745555,,,,154642.1718118023
5156.767121078891,362.0116346248159,30908.57525875428,,,,18416.452958647693
5607.30513506049,1960.4363604148095,8953.82240267727,,,,2305.6231521738428
6157.189711365501,13973.079790983951,52274.42856970656,,,,6379.857895159157
25146.387478255412,1279.3596062671563,5822.203742038197,,,,15494.590706273806
1269.6576337510926,11148.935278421775,45401.11906352118,,,,3945.8741663758533
10927.217993373992,20430.90525565809,25809.09474473899,,,,22008.562501537133
694.2816517575368,25287.03299703827,83068.10922619607,,,,68954.65913703879
1009.3699945664013,59770.3578450157,135045.72505242942,,,,8350.351673098248
10382.583952360226,62952.973640608376,98784.89197949899,,,,2464.3251233576802
729.0987046078326,1154.2699147597234,47497.258878744346,,,,10243.420598299826
59199.36474794062,1124.5019843451041,2250.8925622280262,,,,9607.37753578823
28509.807992993876,1716.4050119265985,17798.965014100275,,,,48393.22201026845
3138.301268847785,2316.672646002638,14490.61265628899,,,,7478.179124125775
2011.0372928062634,6242.456861091497,46633.96972045252,,,,23000.550789828994
2109.428904416691,438.13099637076806,13635.880507499915,,,,76618.01556841296
4388.306764826645,560.9627417083719,15297.87426775506,,,,50409.79795535614
2630.607758950535,8746.6578449413,14549.75537657354,,,,30447.194237910684
11928.86565824975,3100.439500288432,99298.80673987018,,,,4218.986676055239
1919.2767681562514,12413.395545624615,227545.44731507634,,,,59702.89072300724
74196.5777447333,4292.589327872723,15903.62495500225,,,,8369.885936818577
47092.524107462465,77126.29086995045,108129.37921757843,,,,4260.999936078586
8590.914582657757,3558.514459986181,381550.61081152444,,,,51249.31901488419
3572.409058396131,5755.667229060719,9050.830975783345,,,,3881.884948100365
16283.206742529093,2382.8225660964226,27078.99341052707,,,,99496.35101350817
9953.420172113858,2508.4545612122483,156582.38386824235,,,,67540.9469953405
10241.715288442812,138437.13482400976,3648.1197103216496,,,,8924.343981083783
2083.7081370789797,15370.244423914697,4229.139754985911,,,,5165.046244967055
10775.95797142798,6432.830552291641,218812.23383464382,,,,9241.642458667056
13693.655002409561,865.6118756735704,21551.338386246058,,,,44241.93800818397
1478.5629241878542,2460.1826529989407,47609.79149907887,,,,26791.99006247002
34790.54383066883,5064.873258648031,159620.15006690606,,,,16424.184258332116
4011.740668881546,12213.349961132395,66362.29922665887,,,,2835.2647622464197
569.1557761070118,1505.698668332882,259927.3727223357,,,,2611.8560080686916
9353.556353427777,3762.2283092790963,1942.843699765687,,,,7038.079938835375
8209.935768443996,3205.2226473219907,40878.43175565722,,,,2679.080181511288
4860.295321702118,5288.428858406096,12593.681974958054,,,,22198.345464571947
26451.35322581328,7041.790419304233,12045.863348080004,,,,18222.56220214939
14709.956132561014,5087.213465237002,94762.42219146738,,,,14648.840994725826
4061.078549391438,5624.780415228705,14863.889788724286,,,,181221.66315685213
2124.9732700623335,7010.72622609051,6456.784987883442,,,,49820.05632251739
2305.7566216695095,6071.575554481858,156608.49185868385,,,,49442.04385176497
9272.027809545874,25699.3212082933,12080.357359030939,,,,121437.19336817488
4665.515833416426,7494.344751894666,35414.651441147966,,,,313652.3273808001
1129.9575783452105,6084.333042375085,96704.11500871467,,,,61771.44086703562
3216.535735196794,1558.9195919576762,157322.47177206632,,,,9097.596887683781
