0,1,2,algo
mae,rmse,smape,
67.87698467957688,79.03071465387286,0.10634166117901184,AutoARIMA
71.11107336666545,81.1767290332297,0.11018869729521132,SVR
68.19747778059059,77.62571886468898,0.10556877521433274,xgboost
67.35147977561525,80.80323454787836,0.10677612674724397,RNN
82.79191739970199,96.09307098548778,0.1260475173820539,CNN-LSTM
78.24684420602469,96.39880363743957,0.11855265957245678,NBEATS
65.7173181799246,76.93615123918384,0.10304372708396163,LSTM
65.2841842340265,80.74547589496504,0.10316655873320832,KG-GCN-MLP
53.90807172602768,65.40586429356729,0.08664942961733509,AutoDilatedRNN
61.61190285786412,71.47005004319936,0.09796741212010279,AutoInformer
79.90321599167535,91.547536913658,0.12252391317624897,NHITS
53.17425802693221,67.26547182281347,0.08240952884832212,KG-GCN-LSTM
64.71897905624817,73.80142570193881,0.10156789218610393,KG-GCN-LSTM(concat)
59.64481130624818,70.75291513395827,0.0926286973717861,KG-GCN-LSTM(max)
57.51826775770145,69.56255433625878,0.08982092791293349,KG-GCN-LSTM(mean)
68.44481130624817,81.99920434165311,0.10347237324813875,KG-GCN-LSTM(16)
61.48621816201741,71.48921836681548,0.09914011268728118,KG-GCN-LSTM(32)
62.113053681248175,73.31838950549653,0.09580718098671712,KG-GCN-LSTM(64)
