KD_OBAT,TGL,qty
AI-0039,2015-10-26,7
AI-0039,2015-11-02,8
AI-0039,2015-11-09,2
AI-0039,2015-11-16,9
AI-0039,2015-11-23,7
AI-0039,2015-11-30,6
AI-0039,2015-12-07,2
AI-0039,2015-12-14,20
AI-0039,2015-12-21,5
AI-0039,2015-12-28,2
AI-0043,2014-12-29,189
AI-0043,2015-01-05,448
AI-0043,2015-01-12,85
AI-0043,2015-01-19,427
AI-0043,2015-01-26,564
AI-0043,2015-02-02,1021
AI-0043,2015-02-09,1027
AI-0043,2015-02-16,1108
AI-0043,2015-02-23,793
AI-0043,2015-03-02,868
AI-0043,2015-03-09,1009
AI-0043,2015-03-16,1137
AI-0043,2015-03-23,1107
AI-0043,2015-03-30,940
AI-0043,2015-04-06,1139
AI-0043,2015-04-13,912
AI-0043,2015-04-20,2180
AI-0043,2015-04-27,1132
AI-0043,2015-05-04,1312
AI-0043,2015-05-11,904
AI-0043,2015-05-18,1882
AI-0043,2015-05-25,2128
AI-0043,2015-06-01,1983
AI-0043,2015-06-08,1314
AI-0043,2015-06-15,1226
AI-0043,2015-06-22,1559
AI-0043,2015-06-29,1018
AI-0043,2015-07-06,1230
AI-0043,2015-07-13,739
AI-0043,2015-07-20,1235
AI-0043,2015-07-27,140
AI-0043,2015-08-03,1385
AI-0043,2015-08-10,1212
AI-0043,2015-08-17,1487
AI-0043,2015-08-24,902
AI-0043,2015-08-31,881
AI-0043,2015-09-07,1131
AI-0043,2015-09-14,1067
AI-0043,2015-09-21,1892
AI-0043,2015-09-28,2136
AI-0043,2015-10-05,693
AI-0043,2015-10-12,1038
AI-0043,2015-10-19,1485
AI-0043,2015-10-26,1494
AI-0043,2015-11-02,1030
AI-0043,2015-11-09,1056
AI-0043,2015-11-16,1068
AI-0043,2015-11-23,919
AI-0043,2015-11-30,2257
AI-0043,2015-12-07,955
AI-0043,2015-12-14,1424
AI-0043,2015-12-21,2173
AI-0043,2015-12-28,706
AI-0050,2014-12-29,102
AI-0050,2015-01-05,208.5
AI-0050,2015-01-12,246
AI-0050,2015-01-19,235
AI-0050,2015-01-26,286
AI-0050,2015-02-02,628
AI-0050,2015-02-09,228.5
AI-0050,2015-02-16,322.5
AI-0050,2015-02-23,440
AI-0050,2015-03-02,475
AI-0050,2015-03-09,533
AI-0050,2015-03-16,592.5
AI-0050,2015-03-23,593
AI-0050,2015-03-30,492
AI-0050,2015-04-06,679.5
AI-0050,2015-04-13,838.6
